PRIMA Balloon Configuration 2			
Sawtooth 26 deg			
Wavelength	UnPol	TM Pol	TE Pol
240	0.7657953857	0.7342242595	0.7973665119
240.5	0.7671231056	0.7382453774	0.7960008338
241	0.7684241544	0.7422356137	0.7946126952
241.5	0.769698467	0.7461944122	0.7932025217
242	0.7709459824	0.7501212318	0.791770733
242.5	0.7721666448	0.7540155465	0.7903177431
243	0.7733604038	0.7578768474	0.7888439603
243.5	0.7745272152	0.7617046431	0.7873497873
244	0.775667041	0.7654984609	0.785835621
244.5	0.7767798501	0.7692578471	0.7843018531
245	0.7778656188	0.772982368	0.7827488695
245.5	0.7789243307	0.7766716105	0.7811770508
246	0.7799559772	0.7803251821	0.7795867723
246.5	0.7809605578	0.7839427117	0.7779784039
247	0.78193808	0.7875238497	0.7763523103
247.5	0.7828885597	0.7910682684	0.774708851
248	0.7838120211	0.7945756618	0.7730483804
248.5	0.7847084969	0.7980457462	0.7713712477
249	0.7855780284	0.8014782598	0.7696777971
249.5	0.7864206654	0.8048729627	0.7679683681
250	0.787236466	0.8082296371	0.766243295
250.5	0.7880254972	0.8115480871	0.7645029073
251	0.788787834	0.8148281383	0.7627475298
251.5	0.7895235602	0.8180696379	0.7609774825
252	0.7902327675	0.8212724542	0.7591930808
252.5	0.790915556	0.8244364765	0.7573946354
253	0.7915720336	0.8275616146	0.7555824526
253.5	0.7922023163	0.8306477987	0.7537568339
254	0.7928065278	0.8336949791	0.7519180766
254.5	0.7933847994	0.8367031252	0.7500664736
255	0.7939372696	0.8396722259	0.7482023133
255.5	0.7944640844	0.8426022887	0.7463258801
256	0.7949653966	0.8454933394	0.7444374539
256.5	0.795441366	0.8483454215	0.7425373106
257	0.795892159	0.8511585961	0.7406257219
257.5	0.7963179484	0.8539329411	0.7387029557
258	0.7967189131	0.8566685506	0.7367692756
258.5	0.7970952382	0.8593655349	0.7348249415
259	0.7974471145	0.8620240197	0.7328702094
259.5	0.7977747384	0.8646441455	0.7309053312
260	0.7980783115	0.8672260674	0.7289305556
260.5	0.7983580407	0.8697699544	0.7269461271
261	0.7986141378	0.8722759889	0.7249522867
261.5	0.7988468193	0.8747443665	0.7229492721
262	0.7990563061	0.8771752951	0.7209373172
262.5	0.7992428235	0.8795689946	0.7189166524
263	0.7994066008	0.8819256967	0.7168875049
263.5	0.7995478711	0.8842456438	0.7148500984
264	0.7996668713	0.8865290891	0.7128046536
264.5	0.7997638418	0.888776296	0.7107513876
265	0.7998390261	0.8909875375	0.7086905147
265.5	0.7998926709	0.893163096	0.7066222459
266	0.7999250259	0.8953032626	0.7045467892
266.5	0.7999363433	0.8974083368	0.7024643498
267	0.7999268781	0.8994786264	0.7003751298
267.5	0.7998968875	0.9015144464	0.6982793286
268	0.7998466313	0.9035161195	0.696177143
268.5	0.7997763709	0.905483975	0.6940687668
269	0.7996863701	0.9074183487	0.6919543914
269.5	0.7995768943	0.9093195828	0.6898342057
270	0.7994482107	0.9111880252	0.6877083961
270.5	0.799300588	0.9130240293	0.6855771466
271	0.7991342965	0.9148279539	0.683440639
271.5	0.7989496077	0.9166001626	0.6812990528
272	0.7987467947	0.9183410238	0.6791525656
272.5	0.7985261315	0.9200509103	0.6770013528
273	0.7982878935	0.9217301991	0.674845588
273.5	0.7980323571	0.9233792711	0.672685443
274	0.7977597996	0.9249985114	0.6705210879
274.5	0.7974704997	0.9265883081	0.6683526913
275	0.7971647368	0.9281490533	0.6661804203
275.5	0.7968427914	0.9296811422	0.6640044407
276	0.7965049453	0.9311849731	0.6618249174
276.5	0.7961514809	0.9326609478	0.6596420141
277	0.7957826822	0.9341094708	0.6574558936
277.5	0.7953988342	0.93553095	0.6552667184
278	0.7950002232	0.936925796	0.6530746504
278.5	0.7945871371	0.9382944228	0.6508798513
279	0.7941598652	0.9396372474	0.6486824831
279.5	0.7937186989	0.9409546901	0.6464827078
280	0.7932639315	0.9422471747	0.6442806883
280.5	0.7927958585	0.9435151286	0.6420765884
281	0.7923147784	0.9447589834	0.6398705735
281.5	0.7918209925	0.9459791745	0.6376628105
282	0.7913148056	0.9471761426	0.6354534686
282.5	0.7907965267	0.9483503332	0.6332427203
283	0.7902664693	0.9495021977	0.6310307409
283.5	0.7897249524	0.9506321944	0.6288177105
284	0.7891723013	0.9517407887	0.6266038138
284.5	0.7886088482	0.9528284547	0.6243892417
285	0.7880349342	0.9538956764	0.6221741921
285.5	0.7874509101	0.9549429487	0.6199588714
286	0.7868571379	0.9559707801	0.6177434958
286.5	0.7862539936	0.9569796939	0.6155282933
287	0.7856418687	0.9579702315	0.6133135058
287.5	0.7850211736	0.9589429553	0.611099392
288	0.7843923411	0.9598984524	0.6088862298
288.5	0.7837558305	0.9608373398	0.6066743211
289	0.7831121329	0.9617602697	0.6044639961
289.5	0.7824617782	0.9626679374	0.6022556189
290	0.7818053431	0.9635610903	0.6000495958
290.5	0.7811434619	0.9644405396	0.5978463842
291	0.7804768406	0.9653071761	0.5956465051
291.5	0.7798062744	0.9661619898	0.5934505591
292	0.7791326728	0.9670060973	0.5912592482
292.5	0.7784570915	0.9678407782	0.5890734048
293	0.777780779	0.9686675257	0.5868940324
293.5	0.7771052414	0.9694881197	0.5847223631
294	0.7764323379	0.9703047328	0.582559943
294.5	0.7757644265	0.9711200926	0.5804087604
295	0.7751045946	0.971937739	0.5782714502
295.5	0.7744570446	0.9727624541	0.5761516352
296	0.7738277835	0.9736010324	0.5740545347
296.5	0.7732259687	0.9744637845	0.5719881529
297	0.7726668787	0.9753678603	0.569965897
297.5	0.7721797992	0.9763460808	0.5680135176
298	0.7718369591	0.9774793884	0.5661945299
298.5	0.7720205288	0.9791969236	0.564844134
299	0.7721601849	0.9768878304	0.5674325394
299.5	0.7712851842	0.9755665843	0.5670037842
300	0.7703647702	0.9747060903	0.56602345
300.5	0.769427396	0.9740848543	0.5647699377
301	0.7684824362	0.9736204823	0.5633443901
301.5	0.7675340472	0.9732706565	0.5617974379
302	0.76658432	0.9730098109	0.5601588292
302.5	0.765634361	0.9728208665	0.5584478556
303	0.7646847509	0.9726915999	0.5566779019
303.5	0.7637357681	0.9726128122	0.554858724
304	0.7627875084	0.9725773112	0.5529977055
304.5	0.7618399532	0.9725793034	0.5511006031
305	0.7608930117	0.9726140091	0.5491720143
305.5	0.7599465463	0.9726774077	0.5472156849
306	0.7590003902	0.9727660626	0.5452347177
306.5	0.7580543585	0.9728769972	0.5432317198
307	0.7571082564	0.973007604	0.5412089088
307.5	0.7561618841	0.9731555773	0.539168191
308	0.7552150412	0.9733188618	0.5371112207
308.5	0.7542675289	0.9734956127	0.535039445
309	0.7533191518	0.9736841644	0.5329541392
309.5	0.75236972	0.9738830056	0.5308564345
310	0.7514190493	0.9740907585	0.5287473402
310.5	0.7504669621	0.9743061629	0.5266277613
311	0.7495132878	0.974528062	0.5244985136
311.5	0.7485578633	0.9747553914	0.5223603353
312	0.7476005329	0.9749871688	0.520213897
312.5	0.7466411483	0.9752224864	0.5180598102
313	0.7456795688	0.9754605035	0.5158986341
313.5	0.7447156612	0.9757004406	0.5137308819
314	0.7437492997	0.975941574	0.5115570254
314.5	0.7427803656	0.9761832314	0.5093774998
315	0.7418087474	0.9764247875	0.5071927072
315.5	0.7408343404	0.9766656607	0.5050030201
316	0.7398570468	0.9769053099	0.5028087837
316.5	0.7388767752	0.9771432314	0.5006103191
317	0.7378934407	0.9773789565	0.498407925